3,10243,10245
10243,2563,10244
10245,10243,10244
10245,10244,2565
2563,10246,10248
10246,643,10247
10248,10246,10247
10248,10247,2564
2565,10244,10249
10244,2563,10248
10249,10244,10248
10249,10248,2564
2565,10249,10251
10249,2564,10250
10251,10249,10250
10251,10250,645
643,10252,10254
10252,2566,10253
10254,10252,10253
10254,10253,2568
2566,10255,10257
10255,163,10256
10257,10255,10256
10257,10256,2567
2568,10253,10258
10253,2566,10257
10258,10253,10257
10258,10257,2567
2568,10258,10260
10258,2567,10259
10260,10258,10259
10260,10259,644
645,10250,10262
10250,2564,10261
10262,10250,10261
10262,10261,2569
2564,10247,10263
10247,643,10254
10263,10247,10254
10263,10254,2568
2569,10261,10264
10261,2564,10263
10264,10261,10263
10264,10263,2568
2569,10264,10265
10264,2568,10260
10265,10264,10260
10265,10260,644
645,10262,10267
10262,2569,10266
10267,10262,10266
10267,10266,2571
2569,10265,10269
10265,644,10268
10269,10265,10268
10269,10268,2570
2571,10266,10270
10266,2569,10269
10270,10266,10269
10270,10269,2570
2571,10270,10272
10270,2570,10271
10272,10270,10271
10272,10271,165
163,10273,10275
10273,2572,10274
10275,10273,10274
10275,10274,2574
2572,10276,10278
10276,646,10277
10278,10276,10277
10278,10277,2573
2574,10274,10279
10274,2572,10278
10279,10274,10278
10279,10278,2573
2574,10279,10281
10279,2573,10280
10281,10279,10280
10281,10280,648
646,10282,10284
10282,2575,10283
10284,10282,10283
10284,10283,2577
2575,10285,10287
10285,43,10286
10287,10285,10286
10287,10286,2576
2577,10283,10288
10283,2575,10287
10288,10283,10287
10288,10287,2576
2577,10288,10290
10288,2576,10289
10290,10288,10289
10290,10289,647
648,10280,10292
10280,2573,10291
10292,10280,10291
10292,10291,2578
2573,10277,10293
10277,646,10284
10293,10277,10284
10293,10284,2577
2578,10291,10294
10291,2573,10293
10294,10291,10293
10294,10293,2577
2578,10294,10295
10294,2577,10290
10295,10294,10290
10295,10290,647
648,10292,10297
10292,2578,10296
10297,10292,10296
10297,10296,2580
2578,10295,10299
10295,647,10298
10299,10295,10298
10299,10298,2579
2580,10296,10300
10296,2578,10299
10300,10296,10299
10300,10299,2579
2580,10300,10302
10300,2579,10301
10302,10300,10301
10302,10301,164
165,10271,10304
10271,2570,10303
10304,10271,10303
10304,10303,2582
2570,10268,10306
10268,644,10305
10306,10268,10305
10306,10305,2581
2582,10303,10307
10303,2570,10306
10307,10303,10306
10307,10306,2581
2582,10307,10309
10307,2581,10308
